,Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
1747,INN01748,2,0,1,1,Meal Plan 1,0,Room_Type 1,219,2018,8,15,Online,0,0,0,96.3,0,Canceled
28027,INN28028,2,0,1,3,Meal Plan 1,0,Room_Type 1,3,2017,8,17,Corporate,0,0,0,130.0,0,Canceled
14999,INN15000,2,0,0,2,Meal Plan 1,0,Room_Type 1,5,2018,2,12,Online,0,0,0,91.0,1,Canceled
18900,INN18901,1,0,2,3,Meal Plan 1,0,Room_Type 1,62,2018,11,6,Online,0,0,0,155.52,1,Not_Canceled
1069,INN01070,2,0,1,2,Meal Plan 1,0,Room_Type 1,121,2018,6,24,Online,0,0,0,90.0,0,Canceled
26881,INN26882,2,0,1,4,Meal Plan 1,0,Room_Type 1,137,2018,7,6,Online,0,0,0,107.95,0,Not_Canceled
6045,INN06046,1,0,0,1,Meal Plan 1,0,Room_Type 4,6,2018,5,3,Corporate,0,0,0,110.0,0,Not_Canceled
15183,INN15184,2,0,1,3,Meal Plan 1,0,Room_Type 1,153,2018,7,4,Online,0,0,0,133.88,2,Canceled
11227,INN11228,1,0,0,2,Meal Plan 1,0,Room_Type 1,58,2018,1,27,Offline,0,0,0,81.0,0,Not_Canceled
20304,INN20305,3,0,1,3,Meal Plan 1,0,Room_Type 1,14,2018,2,22,Offline,0,0,0,118.0,1,Not_Canceled
3861,INN03862,2,0,0,3,Not Selected,0,Room_Type 1,126,2018,9,8,Online,0,0,0,118.8,0,Canceled
31597,INN31598,0,2,2,3,Meal Plan 1,0,Room_Type 2,109,2018,12,16,Online,0,0,0,77.86,2,Not_Canceled
17298,INN17299,3,0,0,2,Meal Plan 1,0,Room_Type 4,74,2018,6,15,Online,0,0,0,186.3,0,Canceled
17954,INN17955,2,0,4,10,Not Selected,0,Room_Type 1,24,2018,12,1,Online,0,0,0,74.8,0,Not_Canceled
26339,INN26340,2,0,0,3,Meal Plan 1,0,Room_Type 1,147,2017,8,11,Online,0,0,0,76.5,0,Canceled
32986,INN32987,2,0,0,1,Not Selected,0,Room_Type 1,30,2018,5,25,Online,0,0,0,98.1,0,Canceled
20333,INN20334,2,0,2,2,Meal Plan 1,0,Room_Type 1,46,2018,10,16,Offline,0,0,0,85.5,0,Not_Canceled
4627,INN04628,2,0,0,1,Not Selected,0,Room_Type 1,0,2018,8,23,Online,0,0,0,139.0,0,Not_Canceled
2031,INN02032,2,0,1,1,Not Selected,0,Room_Type 1,7,2018,12,17,Online,0,0,0,78.0,1,Not_Canceled
26587,INN26588,2,0,2,1,Meal Plan 2,0,Room_Type 1,96,2017,7,11,Offline,0,0,0,94.5,0,Not_Canceled
34543,INN34544,2,1,0,1,Meal Plan 1,0,Room_Type 1,55,2018,9,15,Online,0,0,0,152.1,1,Not_Canceled
7251,INN07252,2,0,2,2,Meal Plan 1,0,Room_Type 2,39,2018,1,1,Online,0,0,0,91.13,0,Not_Canceled
29708,INN29709,2,0,0,1,Not Selected,0,Room_Type 1,182,2018,10,12,Online,0,0,0,98.1,0,Canceled
32264,INN32265,1,0,0,2,Meal Plan 2,0,Room_Type 1,256,2018,6,15,Offline,0,0,0,90.0,0,Not_Canceled
34949,INN34950,2,0,0,2,Meal Plan 1,0,Room_Type 1,31,2018,2,4,Corporate,0,0,0,81.5,0,Not_Canceled
22988,INN22989,2,0,2,2,Meal Plan 1,0,Room_Type 1,47,2018,1,31,Online,0,0,0,58.94,2,Not_Canceled
17052,INN17053,2,2,2,6,Meal Plan 1,0,Room_Type 6,13,2018,2,9,Online,0,0,0,173.0,0,Not_Canceled
25975,INN25976,2,0,0,3,Not Selected,0,Room_Type 1,25,2018,10,20,Online,0,0,0,119.0,1,Not_Canceled
31726,INN31727,1,0,2,1,Meal Plan 1,0,Room_Type 1,1,2018,2,28,Offline,0,0,0,60.0,0,Canceled
35547,INN35548,1,0,2,0,Meal Plan 1,0,Room_Type 1,95,2018,10,30,Online,0,0,0,85.5,1,Not_Canceled
7105,INN07106,2,1,1,1,Meal Plan 1,0,Room_Type 1,132,2018,6,11,Online,0,0,0,143.1,2,Not_Canceled
2798,INN02799,2,1,2,3,Meal Plan 1,0,Room_Type 4,126,2018,5,15,Online,0,0,0,125.45,2,Not_Canceled
6581,INN06582,1,0,0,2,Not Selected,0,Room_Type 1,13,2018,8,23,Online,0,0,0,129.0,2,Not_Canceled
9683,INN09684,2,0,1,2,Meal Plan 1,0,Room_Type 1,189,2018,10,28,Online,0,0,0,96.3,4,Not_Canceled
24994,INN24995,2,0,1,2,Meal Plan 1,0,Room_Type 1,168,2018,4,22,Offline,0,0,0,85.0,0,Canceled
16981,INN16982,2,0,1,2,Meal Plan 1,0,Room_Type 1,273,2018,5,13,Offline,0,0,0,95.0,0,Canceled
12864,INN12865,2,1,1,2,Meal Plan 1,0,Room_Type 1,42,2018,4,29,Online,0,0,0,143.1,2,Not_Canceled
17843,INN17844,2,0,1,3,Meal Plan 1,0,Room_Type 1,194,2018,9,12,Offline,0,0,0,101.4,1,Canceled
6900,INN06901,2,0,2,2,Meal Plan 1,0,Room_Type 4,51,2018,9,3,Online,0,0,0,139.28,0,Canceled
15190,INN15191,1,0,1,2,Meal Plan 1,0,Room_Type 1,39,2018,6,20,Online,0,0,0,94.5,2,Not_Canceled
26499,INN26500,3,0,0,4,Meal Plan 1,0,Room_Type 4,87,2018,8,9,Online,0,0,0,150.3,0,Canceled
2529,INN02530,2,0,0,2,Meal Plan 2,0,Room_Type 1,377,2018,10,14,Online,0,0,0,112.0,1,Canceled
7478,INN07479,2,0,0,3,Meal Plan 1,0,Room_Type 1,56,2018,11,2,Online,0,0,0,108.0,2,Not_Canceled
22872,INN22873,2,0,1,3,Meal Plan 1,0,Room_Type 1,15,2017,10,1,Online,0,0,0,80.46,0,Not_Canceled
11027,INN11028,2,0,1,3,Not Selected,0,Room_Type 1,107,2018,9,5,Online,0,0,0,118.8,1,Canceled
16460,INN16461,2,0,1,2,Meal Plan 1,0,Room_Type 1,305,2018,11,4,Offline,0,0,0,89.0,0,Canceled
35584,INN35585,2,0,1,3,Meal Plan 1,1,Room_Type 1,350,2018,12,26,Online,0,0,0,91.95,2,Canceled
3582,INN03583,2,0,0,2,Meal Plan 1,0,Room_Type 1,17,2017,10,16,Offline,0,0,0,48.0,0,Not_Canceled
17891,INN17892,2,0,0,4,Meal Plan 1,0,Room_Type 1,18,2018,1,20,Online,0,0,0,87.0,2,Not_Canceled
32857,INN32858,2,0,2,5,Meal Plan 1,0,Room_Type 1,9,2017,12,27,Offline,1,1,0,70.0,0,Not_Canceled
28786,INN28787,2,0,0,2,Not Selected,1,Room_Type 1,24,2018,9,15,Online,0,0,0,148.0,2,Not_Canceled
228,INN00229,2,1,0,2,Meal Plan 1,0,Room_Type 1,15,2018,3,18,Online,0,0,0,127.0,1,Not_Canceled
23763,INN23764,2,0,1,2,Not Selected,0,Room_Type 1,90,2018,4,8,Online,0,0,0,76.5,1,Not_Canceled
211,INN00212,2,0,1,1,Meal Plan 1,0,Room_Type 1,32,2018,7,18,Offline,0,0,0,105.0,1,Not_Canceled
17,INN00018,2,0,1,3,Not Selected,0,Room_Type 1,1,2017,8,10,Online,0,0,0,96.0,1,Not_Canceled
35978,INN35979,2,0,1,1,Meal Plan 1,0,Room_Type 1,61,2017,10,26,Offline,0,0,0,72.24,1,Not_Canceled
16340,INN16341,2,0,0,2,Meal Plan 2,0,Room_Type 1,102,2017,10,16,Offline,0,0,0,109.0,0,Not_Canceled
3654,INN03655,1,0,2,1,Meal Plan 1,0,Room_Type 1,3,2018,6,19,Offline,0,0,0,76.5,0,Not_Canceled
29883,INN29884,2,0,1,3,Meal Plan 1,0,Room_Type 1,17,2018,6,13,Offline,0,0,0,95.0,0,Canceled
4091,INN04092,2,0,0,3,Meal Plan 1,0,Room_Type 1,22,2018,10,5,Offline,0,0,0,85.0,0,Not_Canceled
9922,INN09923,2,1,1,2,Meal Plan 1,1,Room_Type 7,8,2018,12,30,Corporate,1,0,1,220.0,2,Not_Canceled
18093,INN18094,2,0,0,3,Meal Plan 1,0,Room_Type 2,41,2018,2,18,Online,0,0,0,72.38,0,Not_Canceled
10053,INN10054,2,0,0,4,Meal Plan 1,0,Room_Type 1,159,2018,11,22,Online,0,0,0,85.0,2,Not_Canceled
2025,INN02026,2,2,2,3,Meal Plan 1,0,Room_Type 6,192,2018,10,28,Online,0,0,0,164.63,0,Canceled
18413,INN18414,2,0,1,2,Meal Plan 1,0,Room_Type 1,17,2017,9,14,Offline,0,0,0,84.0,0,Not_Canceled
28099,INN28100,1,0,0,2,Meal Plan 2,0,Room_Type 1,292,2018,7,21,Offline,0,0,0,90.0,0,Not_Canceled
22108,INN22109,2,0,0,2,Meal Plan 1,0,Room_Type 1,88,2017,12,4,Complementary,0,0,0,0.0,1,Not_Canceled
13094,INN13095,2,0,2,2,Meal Plan 1,0,Room_Type 1,90,2017,12,4,Online,0,0,0,72.25,1,Not_Canceled
7820,INN07821,2,0,2,1,Meal Plan 1,0,Room_Type 1,221,2017,10,10,Offline,0,0,0,65.0,0,Not_Canceled
22679,INN22680,2,0,0,2,Meal Plan 1,0,Room_Type 1,37,2018,8,3,Online,0,0,0,135.9,1,Not_Canceled
3973,INN03974,0,2,0,2,Meal Plan 1,0,Room_Type 2,66,2018,10,20,Online,0,0,0,108.0,1,Not_Canceled
28053,INN28054,2,0,0,4,Not Selected,0,Room_Type 1,234,2018,8,31,Online,0,0,0,80.75,0,Canceled
21887,INN21888,2,0,1,1,Meal Plan 1,0,Room_Type 1,54,2018,11,19,Offline,0,0,0,75.0,0,Not_Canceled
2348,INN02349,2,0,2,1,Meal Plan 1,0,Room_Type 1,221,2017,10,17,Offline,0,0,0,65.0,0,Not_Canceled
27387,INN27388,2,0,0,4,Meal Plan 1,0,Room_Type 4,17,2018,4,6,Online,0,0,0,133.5,0,Canceled
29486,INN29487,3,0,0,1,Meal Plan 1,0,Room_Type 4,34,2018,8,10,Online,0,0,0,168.3,0,Canceled
19564,INN19565,1,0,2,1,Meal Plan 1,0,Room_Type 1,44,2018,4,23,Offline,0,0,0,85.0,0,Not_Canceled
9163,INN09164,2,0,2,2,Meal Plan 1,0,Room_Type 1,87,2018,3,20,Online,0,0,0,56.94,1,Not_Canceled
6379,INN06380,1,0,0,2,Meal Plan 1,0,Room_Type 1,14,2017,10,15,Offline,0,0,0,100.0,0,Not_Canceled
14887,INN14888,2,1,0,2,Meal Plan 1,0,Room_Type 1,44,2018,10,28,Offline,0,0,0,100.0,0,Not_Canceled
21803,INN21804,3,0,2,4,Meal Plan 1,0,Room_Type 4,200,2018,9,24,Offline,0,0,0,115.6,0,Canceled
4473,INN04474,2,0,0,2,Meal Plan 1,0,Room_Type 4,37,2018,3,24,Online,0,0,0,126.45,0,Not_Canceled
9455,INN09456,3,0,1,3,Meal Plan 1,0,Room_Type 4,11,2018,5,30,Online,0,0,0,141.95,2,Not_Canceled
9286,INN09287,2,0,0,1,Meal Plan 1,0,Room_Type 4,1,2018,5,5,Complementary,1,0,2,0.0,0,Not_Canceled
35585,INN35586,2,0,0,2,Meal Plan 1,0,Room_Type 1,118,2018,5,26,Offline,0,0,0,80.75,0,Not_Canceled
8911,INN08912,1,0,1,0,Not Selected,0,Room_Type 1,0,2018,12,5,Online,0,0,0,88.0,0,Not_Canceled
28188,INN28189,2,0,1,4,Meal Plan 1,0,Room_Type 1,234,2018,12,12,Online,0,0,0,76.84,1,Not_Canceled
26904,INN26905,2,0,1,1,Meal Plan 1,0,Room_Type 1,33,2018,9,26,Online,0,0,0,119.0,1,Not_Canceled
32253,INN32254,2,0,0,1,Meal Plan 1,0,Room_Type 2,3,2017,9,12,Complementary,0,0,0,0.0,1,Not_Canceled
14951,INN14952,2,0,0,4,Not Selected,0,Room_Type 1,134,2018,7,13,Online,0,0,0,89.25,1,Not_Canceled
9579,INN09580,2,0,1,3,Not Selected,0,Room_Type 1,100,2018,9,5,Online,0,0,0,91.51,1,Canceled
30596,INN30597,2,0,1,1,Meal Plan 1,0,Room_Type 1,3,2018,8,22,Corporate,0,0,0,100.0,0,Not_Canceled
23218,INN23219,1,0,0,1,Meal Plan 1,0,Room_Type 4,0,2017,10,21,Offline,0,0,0,145.0,1,Not_Canceled
24093,INN24094,2,0,0,4,Meal Plan 1,0,Room_Type 4,190,2018,6,8,Online,0,0,0,90.65,2,Canceled
17064,INN17065,2,0,2,2,Not Selected,0,Room_Type 1,98,2018,5,29,Online,0,0,0,109.65,2,Not_Canceled
17628,INN17629,2,0,0,3,Meal Plan 1,0,Room_Type 1,304,2018,11,3,Offline,0,0,0,89.0,0,Canceled
29419,INN29420,2,0,0,2,Meal Plan 1,0,Room_Type 2,124,2018,6,30,Online,0,0,0,97.55,0,Not_Canceled
24027,INN24028,2,1,0,2,Meal Plan 1,0,Room_Type 1,42,2018,11,24,Offline,0,0,0,85.05,0,Not_Canceled
35073,INN35074,1,0,1,2,Meal Plan 1,0,Room_Type 5,241,2018,10,24,Corporate,0,0,0,106.0,0,Canceled
20077,INN20078,1,0,2,2,Meal Plan 1,0,Room_Type 1,204,2017,10,9,Offline,0,0,0,61.38,0,Not_Canceled
25634,INN25635,2,0,1,2,Meal Plan 1,0,Room_Type 1,74,2018,2,15,Offline,0,0,0,58.0,0,Not_Canceled
33720,INN33721,2,0,0,4,Meal Plan 1,0,Room_Type 1,10,2018,12,20,Online,0,0,0,83.73,1,Not_Canceled
31223,INN31224,3,0,1,1,Meal Plan 1,0,Room_Type 4,155,2018,7,16,Online,0,0,0,137.7,1,Canceled
30301,INN30302,2,0,2,1,Meal Plan 2,0,Room_Type 1,110,2017,7,25,Offline,0,0,0,94.5,0,Canceled
10156,INN10157,1,0,0,1,Not Selected,0,Room_Type 1,1,2017,10,14,Online,0,0,0,114.0,1,Not_Canceled
31976,INN31977,2,0,0,3,Meal Plan 1,0,Room_Type 4,78,2018,12,27,Online,0,0,0,114.9,2,Not_Canceled
24207,INN24208,2,0,0,1,Not Selected,0,Room_Type 1,55,2018,4,12,Online,0,0,0,94.5,0,Not_Canceled
15963,INN15964,2,0,2,2,Meal Plan 1,0,Room_Type 1,17,2018,10,7,Online,0,0,0,117.04,1,Not_Canceled
31742,INN31743,2,0,2,1,Not Selected,0,Room_Type 1,34,2018,9,25,Online,0,0,0,82.23,1,Not_Canceled
9739,INN09740,2,0,0,3,Meal Plan 1,0,Room_Type 1,271,2018,9,21,Offline,0,0,0,101.33,1,Canceled
1495,INN01496,2,0,1,0,Meal Plan 1,0,Room_Type 1,52,2018,9,4,Online,0,0,0,98.82,0,Canceled
21320,INN21321,2,1,1,2,Meal Plan 1,0,Room_Type 1,6,2018,7,4,Online,0,0,0,163.67,0,Canceled
1880,INN01881,2,0,2,2,Meal Plan 1,0,Room_Type 1,64,2018,9,4,Online,0,0,0,103.95,1,Not_Canceled
13070,INN13071,2,0,1,1,Meal Plan 2,0,Room_Type 1,247,2018,6,6,Offline,0,0,0,115.0,1,Canceled
9934,INN09935,1,0,1,2,Meal Plan 1,0,Room_Type 1,45,2018,2,29,Online,0,0,0,76.3,0,Not_Canceled
11346,INN11347,1,0,1,0,Meal Plan 1,0,Room_Type 1,12,2018,9,11,Offline,0,0,0,85.0,1,Not_Canceled
14507,INN14508,2,0,2,4,Meal Plan 1,0,Room_Type 1,122,2018,5,4,Online,0,0,0,99.45,0,Canceled
14765,INN14766,2,0,2,5,Meal Plan 1,0,Room_Type 1,215,2018,8,14,Online,0,0,0,92.16,1,Not_Canceled
29791,INN29792,2,0,1,3,Meal Plan 1,0,Room_Type 1,322,2018,5,19,Offline,0,0,0,80.0,0,Canceled
34199,INN34200,2,0,1,0,Meal Plan 1,0,Room_Type 1,14,2018,5,30,Online,0,0,0,94.35,0,Canceled
27842,INN27843,1,0,0,1,Meal Plan 1,0,Room_Type 1,4,2018,1,20,Online,0,0,0,80.0,1,Not_Canceled
13080,INN13081,2,0,1,4,Meal Plan 1,0,Room_Type 4,128,2018,8,17,Online,0,0,0,122.4,0,Canceled
26911,INN26912,2,0,1,5,Meal Plan 2,0,Room_Type 1,138,2018,7,5,Offline,0,0,0,102.25,0,Not_Canceled
14335,INN14336,3,0,0,1,Meal Plan 1,0,Room_Type 4,157,2018,10,7,Offline,0,0,0,133.6,0,Canceled
5647,INN05648,2,0,1,1,Meal Plan 1,0,Room_Type 1,25,2018,8,15,Offline,0,0,0,76.5,0,Not_Canceled
18546,INN18547,2,0,0,1,Not Selected,0,Room_Type 1,0,2018,7,29,Online,0,0,0,109.0,1,Not_Canceled
27447,INN27448,1,0,2,2,Meal Plan 1,0,Room_Type 1,116,2018,2,28,Offline,0,0,0,75.75,0,Not_Canceled
28635,INN28636,1,0,2,8,Meal Plan 1,0,Room_Type 1,13,2018,1,20,Online,0,0,0,75.0,0,Not_Canceled
19130,INN19131,2,0,0,2,Meal Plan 2,0,Room_Type 1,69,2017,9,22,Offline,0,0,0,106.0,0,Not_Canceled
13166,INN13167,2,0,0,3,Meal Plan 1,0,Room_Type 2,43,2018,1,14,Online,0,0,0,86.75,0,Canceled
1168,INN01169,2,0,1,4,Meal Plan 1,0,Room_Type 1,7,2017,9,21,Online,0,0,0,143.2,2,Not_Canceled
34135,INN34136,2,0,1,4,Meal Plan 1,0,Room_Type 4,62,2018,9,14,Online,0,0,0,149.4,3,Not_Canceled
29159,INN29160,2,0,2,1,Meal Plan 1,0,Room_Type 1,57,2018,3,12,Online,0,0,0,78.3,1,Not_Canceled
21755,INN21756,2,2,3,5,Meal Plan 2,0,Room_Type 6,155,2018,7,10,Online,0,0,0,218.03,2,Canceled
2815,INN02816,2,0,1,3,Not Selected,0,Room_Type 1,104,2018,4,18,Online,0,0,0,72.25,1,Canceled
34476,INN34477,1,0,0,1,Meal Plan 1,0,Room_Type 1,47,2017,11,11,Corporate,0,0,0,65.0,0,Not_Canceled
26267,INN26268,1,0,0,3,Meal Plan 1,0,Room_Type 1,29,2018,5,17,Offline,0,0,0,90.0,0,Not_Canceled
8836,INN08837,1,0,0,3,Not Selected,0,Room_Type 1,25,2018,5,10,Online,0,0,0,129.0,0,Not_Canceled
20175,INN20176,1,0,0,1,Meal Plan 2,0,Room_Type 1,221,2018,8,12,Offline,0,0,0,73.0,0,Not_Canceled
8373,INN08374,2,1,1,1,Meal Plan 1,0,Room_Type 1,60,2018,4,30,Offline,0,0,0,114.57,0,Not_Canceled
19916,INN19917,2,0,0,3,Meal Plan 2,0,Room_Type 1,71,2017,9,22,Offline,0,0,0,127.0,0,Not_Canceled
27421,INN27422,2,1,0,2,Meal Plan 1,0,Room_Type 1,128,2018,7,8,Online,0,0,0,130.5,0,Canceled
21449,INN21450,2,0,1,2,Meal Plan 2,0,Room_Type 1,47,2018,10,3,Online,0,0,0,153.0,1,Canceled
27746,INN27747,1,0,2,4,Meal Plan 1,0,Room_Type 1,69,2018,6,12,Offline,0,0,0,120.0,0,Canceled
26047,INN26048,2,0,2,2,Meal Plan 1,0,Room_Type 1,18,2018,5,29,Online,0,0,0,98.6,2,Not_Canceled
10699,INN10700,3,0,0,2,Meal Plan 1,1,Room_Type 4,183,2018,7,26,Online,0,0,0,137.7,1,Canceled
19939,INN19940,3,0,2,4,Meal Plan 1,0,Room_Type 4,82,2018,7,1,Online,0,0,0,146.7,2,Not_Canceled
5436,INN05437,2,0,0,2,Not Selected,0,Room_Type 1,51,2018,12,9,Online,0,0,0,79.2,1,Not_Canceled
29364,INN29365,2,0,2,3,Meal Plan 1,0,Room_Type 1,192,2017,9,25,Offline,0,0,0,102.0,0,Canceled
1574,INN01575,2,0,0,2,Meal Plan 2,0,Room_Type 1,102,2017,10,16,Online,0,0,0,101.5,0,Canceled
3247,INN03248,1,0,0,1,Meal Plan 1,0,Room_Type 1,6,2018,6,8,Corporate,1,1,6,65.0,1,Not_Canceled
9834,INN09835,2,0,2,1,Not Selected,0,Room_Type 1,4,2017,8,8,Online,0,0,0,80.0,1,Not_Canceled
4011,INN04012,1,0,0,3,Meal Plan 1,0,Room_Type 1,13,2017,8,20,Online,0,0,0,80.0,1,Canceled
33927,INN33928,3,0,1,2,Meal Plan 1,0,Room_Type 4,136,2018,9,30,Online,0,0,0,154.8,1,Canceled
22109,INN22110,2,0,1,2,Meal Plan 1,0,Room_Type 1,19,2018,12,5,Online,0,0,0,104.0,2,Not_Canceled
9484,INN09485,2,0,2,1,Meal Plan 1,0,Room_Type 4,109,2018,5,22,Offline,0,0,0,90.95,0,Not_Canceled
5618,INN05619,2,0,2,3,Meal Plan 1,0,Room_Type 4,12,2018,12,4,Online,0,0,0,105.9,0,Not_Canceled
35240,INN35241,2,0,0,2,Not Selected,0,Room_Type 1,25,2018,9,8,Online,0,0,0,139.0,0,Canceled
32689,INN32690,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,9,13,Complementary,1,0,30,0.0,3,Not_Canceled
35712,INN35713,2,0,1,4,Meal Plan 1,0,Room_Type 1,275,2018,10,5,Offline,0,0,0,90.0,0,Canceled
22248,INN22249,2,2,0,3,Meal Plan 1,0,Room_Type 6,19,2018,8,11,Online,0,0,0,231.0,1,Canceled
4188,INN04189,3,0,2,1,Meal Plan 1,0,Room_Type 1,84,2018,6,26,Online,0,0,0,103.72,2,Not_Canceled
29801,INN29802,2,0,1,0,Meal Plan 1,0,Room_Type 4,21,2018,9,19,Online,0,0,0,164.0,1,Canceled
12812,INN12813,2,0,0,1,Meal Plan 1,0,Room_Type 1,121,2018,6,9,Offline,0,0,0,120.0,0,Canceled
6339,INN06340,1,0,1,5,Meal Plan 1,0,Room_Type 1,14,2018,12,6,Online,0,0,0,76.78,0,Not_Canceled
5078,INN05079,2,0,2,3,Meal Plan 1,0,Room_Type 1,54,2017,10,3,Online,0,0,0,74.15,2,Not_Canceled
27923,INN27924,1,0,0,2,Meal Plan 1,0,Room_Type 1,15,2017,12,10,Corporate,0,0,0,65.0,0,Not_Canceled
28078,INN28079,2,0,1,4,Meal Plan 1,1,Room_Type 1,93,2018,6,1,Online,0,0,0,127.15,0,Not_Canceled
20542,INN20543,2,0,2,2,Meal Plan 1,0,Room_Type 4,74,2018,5,15,Online,0,0,0,132.6,1,Not_Canceled
13087,INN13088,2,0,0,2,Meal Plan 2,0,Room_Type 1,291,2018,8,19,Offline,0,0,0,115.0,0,Canceled
26326,INN26327,2,0,1,0,Meal Plan 1,0,Room_Type 2,8,2017,12,13,Online,0,0,0,104.25,1,Not_Canceled
24488,INN24489,1,0,0,1,Meal Plan 1,0,Room_Type 1,163,2018,10,15,Offline,0,0,0,115.0,0,Canceled
20387,INN20388,2,0,1,3,Meal Plan 1,0,Room_Type 4,81,2018,3,24,Online,0,0,0,99.45,1,Canceled
2506,INN02507,3,0,2,1,Meal Plan 1,0,Room_Type 1,67,2018,3,26,Offline,0,0,0,100.81,1,Not_Canceled
28833,INN28834,1,0,0,2,Meal Plan 2,0,Room_Type 1,257,2017,7,1,Offline,0,0,0,80.0,0,Not_Canceled
32325,INN32326,2,0,2,1,Meal Plan 1,0,Room_Type 1,88,2018,4,2,Online,0,0,0,87.3,0,Canceled
33447,INN33448,2,0,0,2,Meal Plan 1,0,Room_Type 1,310,2018,10,26,Online,0,0,0,96.3,1,Canceled
24235,INN24236,2,0,0,3,Meal Plan 1,0,Room_Type 1,141,2018,8,25,Offline,0,0,0,72.25,0,Not_Canceled
22663,INN22664,2,0,1,2,Not Selected,0,Room_Type 1,0,2018,4,15,Online,0,0,0,89.0,0,Not_Canceled
356,INN00357,1,0,2,1,Meal Plan 1,0,Room_Type 1,1,2018,2,28,Online,0,0,0,60.0,0,Canceled
15151,INN15152,2,0,2,5,Meal Plan 1,0,Room_Type 1,112,2018,7,6,Offline,0,0,0,72.25,0,Not_Canceled
19763,INN19764,2,0,0,2,Meal Plan 2,0,Room_Type 1,377,2018,10,14,Offline,0,0,0,115.0,1,Canceled
13353,INN13354,2,0,2,2,Meal Plan 1,0,Room_Type 1,258,2018,10,29,Online,0,0,0,88.83,1,Not_Canceled
143,INN00144,2,0,2,2,Meal Plan 1,0,Room_Type 1,266,2018,10,30,Online,0,0,0,86.7,2,Not_Canceled
418,INN00419,2,0,2,0,Meal Plan 2,0,Room_Type 1,386,2018,10,23,Online,0,0,0,115.0,1,Canceled
29186,INN29187,2,0,0,2,Not Selected,0,Room_Type 1,14,2018,8,30,Online,0,0,0,118.0,0,Canceled
35,INN00036,2,0,0,1,Not Selected,1,Room_Type 1,23,2018,4,27,Online,0,0,0,115.0,1,Not_Canceled
6429,INN06430,2,0,0,1,Meal Plan 1,0,Room_Type 4,18,2018,6,11,Online,0,0,0,156.0,0,Canceled
20999,INN21000,2,2,1,3,Meal Plan 2,0,Room_Type 6,138,2018,7,4,Online,0,0,0,218.03,0,Canceled
25336,INN25337,2,0,1,1,Meal Plan 1,0,Room_Type 1,35,2017,10,17,Online,0,0,0,104.85,1,Not_Canceled
32041,INN32042,2,0,1,0,Not Selected,0,Room_Type 1,50,2018,2,29,Online,0,0,0,76.5,0,Canceled
4484,INN04485,2,1,1,5,Meal Plan 1,0,Room_Type 1,52,2018,12,19,Online,0,0,0,105.4,3,Not_Canceled
12886,INN12887,2,0,0,4,Meal Plan 1,0,Room_Type 1,7,2017,8,26,Online,0,0,0,90.0,2,Not_Canceled
35019,INN35020,2,0,0,3,Meal Plan 1,0,Room_Type 1,146,2017,12,29,Offline,0,0,0,75.0,0,Not_Canceled
11167,INN11168,1,0,4,15,Meal Plan 1,0,Room_Type 1,92,2017,12,1,Online,0,0,0,63.75,1,Canceled
26542,INN26543,2,0,2,2,Meal Plan 1,0,Room_Type 1,6,2018,2,14,Offline,0,0,0,87.0,0,Not_Canceled
779,INN00780,1,0,1,2,Meal Plan 1,0,Room_Type 1,4,2018,2,15,Complementary,1,0,1,0.0,1,Not_Canceled
5161,INN05162,2,0,1,2,Meal Plan 1,0,Room_Type 1,105,2017,8,10,Online,0,0,0,76.5,1,Not_Canceled
26438,INN26439,2,0,0,2,Meal Plan 2,0,Room_Type 1,102,2017,10,16,Offline,0,0,0,109.0,0,Not_Canceled
30439,INN30440,3,0,0,3,Meal Plan 1,1,Room_Type 4,106,2018,8,9,Online,0,0,0,159.3,2,Not_Canceled
3993,INN03994,2,0,0,1,Not Selected,0,Room_Type 1,6,2018,9,16,Online,0,0,0,149.0,1,Not_Canceled
9025,INN09026,2,0,1,1,Meal Plan 1,0,Room_Type 1,20,2018,2,8,Online,0,0,0,83.8,1,Not_Canceled
9366,INN09367,2,1,1,1,Meal Plan 2,0,Room_Type 1,188,2018,8,8,Online,0,0,0,164.25,1,Canceled
24224,INN24225,2,0,0,2,Meal Plan 1,0,Room_Type 1,5,2018,5,24,Corporate,0,0,0,110.0,1,Not_Canceled
12841,INN12842,2,0,1,1,Meal Plan 1,0,Room_Type 1,183,2018,8,8,Online,0,0,0,105.3,1,Canceled
32609,INN32610,2,2,1,1,Meal Plan 1,0,Room_Type 6,1,2018,5,9,Online,0,0,0,183.0,0,Not_Canceled
29175,INN29176,2,0,1,5,Meal Plan 2,0,Room_Type 6,98,2018,10,24,Online,0,0,0,89.5,2,Not_Canceled
18923,INN18924,2,0,0,1,Not Selected,0,Room_Type 1,26,2018,12,21,Online,0,0,0,67.76,1,Not_Canceled
6129,INN06130,2,0,1,3,Meal Plan 1,0,Room_Type 4,123,2018,12,26,Online,0,0,0,105.61,2,Not_Canceled
2182,INN02183,2,0,2,5,Meal Plan 1,0,Room_Type 2,108,2018,4,2,Online,0,0,0,74.89,0,Not_Canceled
